121,12101,3000,4058979,
122,12201,3000,4058537,
123,12301,3000,4058440,
124,12401,3000,4058361,
125,12501,3000,4058504,
126,12601,3000,4058685,
127,12701,3000,4058576,
128,12801,3000,4058593,
129,12901,3000,4058828,
130,13001,3000,4058529,
131,13101,3000,4058575,
132,13201,3000,4058357,
133,13301,3000,4058502,
134,13401,3000,4058831,
135,13501,3000,4058558,
136,13601,3000,4057992,
137,13701,3000,4058555,
138,13801,3000,4058442,
139,13901,3000,4058552,
140,14001,3000,4058714,
141,14101,3000,4058325,
142,14201,3000,4058609,
143,14301,3000,4058406,
144,14401,3000,4058651,
145,14501,3000,4058395,
146,14601,3000,4058785,
147,14701,3000,4058702,
148,14801,3000,4058409,
149,14901,3000,4058645,
150,15001,3000,4058291,
151,15101,3000,4058439,
152,15201,3000,4058869,
153,15301,3000,4058252,
154,15401,3000,4059039,
155,15501,3000,4058642,
156,15601,3000,4058170,
157,15701,3000,4058772,
158,15801,3000,4058278,
159,15901,3000,4058475,
160,16001,3000,4058326,
161,16101,3000,4058409,
162,16201,3000,4058399,
163,16301,3000,4058002,
164,16401,3000,4058384,
165,16501,3000,4058796,
166,16601,3000,4058449,
167,16701,3000,4058504,
168,16801,2500,4058470,
169,16901,3000,4058301,
170,17001,2500,4058544,
171,17101,3000,4058264,
172,17201,3000,4058756,
173,17301,3000,4058712,
174,17401,3000,4058767,
175,17501,3000,4058380,
176,17601,3000,4058167,
177,17701,3000,4058173,
178,17801,3000,4058559,
179,17901,3000,4058360,
180,18001,3000,4058261,
181,18101,3000,4058670,
182,18201,3000,4058154,
183,18301,3000,4058222,
184,18401,2500,4058181,
185,18501,3000,4058055,
186,18601,3000,4057921,
187,18701,3000,4058205,
188,18801,3000,4058180,
189,18901,3000,4058450,
190,19001,3000,4058501,
191,19101,3000,4058263,
192,19201,3000,4058265,
193,19301,3000,4058154,
194,19401,3000,4058466,
195,19501,3000,4058527,
196,19601,3000,4058395,
197,19701,3000,4058231,
198,19801,3000,4058243,
199,19901,3000,4058239,
200,20001,3000,4058213,
201,20101,3000,4058386,
202,20201,3000,4058424,
203,20301,3000,4058190,
204,20401,3000,4058150,
205,20501,3000,4058146,
206,20601,3000,4058250,
207,20701,3000,4058089,
208,20801,3000,4057961,
209,20901,3000,4058006,
210,21001,3000,4058229,
211,21101,3000,4058378,
212,21201,3000,4058064,
213,21301,3000,4058287,
214,21401,3000,4058430,
215,21501,3000,4058830,
216,21601,3000,4058415,
217,21701,3000,4057797,
218,21801,3000,4058117,
219,21901,3000,4058024,
220,22001,2500,4058186,
221,22101,3000,4058216,
222,22201,3000,4058145,
223,22301,3000,4057728,
224,22401,3000,4058081,
225,22501,3000,4058297,
226,22601,3000,4058143,
227,22701,3000,4058350,
228,22801,2500,4058676,
229,22901,3000,4057823,
230,23001,3000,4058282,
231,23101,3000,4058560,
232,23201,3000,4058039,
233,23301,3000,4057859,
234,23401,3000,4058258,
235,23501,3000,4058134,
236,23601,2500,4058278,
237,23701,3000,4058024,
238,23801,2500,4058389,
239,23901,3000,4058537,
240,24001,3000,4057946,
241,24101,3000,4058170,
242,24201,3000,4058562,
243,24301,3000,4058600,
244,24401,3000,4058484,
245,24501,3000,4058372,
246,24601,3000,4058228,
247,24701,3000,4058312,
248,24801,3000,4058629,
249,24901,3000,4058815,
250,25001,3000,4058705,
251,25101,3000,4058808,
252,25201,3000,4058720,
253,25301,3000,4058547,
254,25401,2500,4058164,
255,25501,3000,4058495,
256,25601,3000,4058470,
257,25701,3000,4058384,
258,25801,3000,4058076,
259,25901,3000,4058543,
260,26001,3000,4058224,
261,26101,3000,4058358,
262,26201,3000,4058194,
263,26301,3000,4057943,
264,26401,3000,4058377,
265,26501,3000,4058411,
266,26601,3000,4058107,
267,26701,3000,4057915,
268,26801,3000,4058746,
269,26901,3000,4058339,
270,27001,3000,4058332,
271,27101,3000,4058150,
272,27201,3000,4058160,
273,27301,3000,4058509,
274,27401,3000,4058524,
275,27501,3000,4058211,
276,27601,3000,4058332,
277,27701,3000,4058246,
278,27801,3000,4058109,
279,27901,3000,4058637,
280,28001,3000,4058551,
281,28101,3000,4058204,
282,28201,3000,4058453,
283,28301,3000,4057597,
284,28401,3000,4058109,
