timestamp_s,timestamp_us,power,voltage,current
1774832244,450695,0.105038,3.237500,0.032449
1774832244,514897,0.105038,3.238750,0.032449
1774832244,579098,0.105038,3.238750,0.032449
1774832244,643330,0.105038,3.238750,0.032449
1774832244,707532,0.105038,3.238750,0.032449
1774832244,771734,0.105038,3.238750,0.032445
1774832244,835966,0.106382,3.238750,0.032860
1774832244,900167,0.105282,3.238750,0.032528
1774832244,964369,0.105282,3.238750,0.032518
1774832245,28601,0.105282,3.238750,0.032503
1774832245,92802,0.105282,3.238750,0.032489
1774832245,157034,0.105282,3.238750,0.032479
1774832245,221236,0.105282,3.238750,0.032469
1774832245,285437,0.105038,3.238750,0.032454
1774832245,349669,0.105038,3.238750,0.032449
1774832245,413871,0.105038,3.238750,0.032445
1774832245,478073,0.105038,3.238750,0.032445
1774832245,542305,0.105038,3.238750,0.032440
1774832245,606506,0.105282,3.238750,0.032493
1774832245,670708,0.105282,3.238750,0.032503
1774832245,734940,0.105282,3.238750,0.032489
1774832245,799141,0.105282,3.238750,0.032503
1774832245,863343,0.105405,3.238750,0.032542
1774832245,927575,0.105282,3.238750,0.032533
1774832245,991776,0.105282,3.238750,0.032513
1774832246,55978,0.105282,3.238750,0.032503
1774832246,120210,0.105282,3.238750,0.032489
1774832246,184412,0.105282,3.238750,0.032479
1774832246,248613,0.105160,3.238750,0.032464
1774832246,312845,0.105038,3.238750,0.032454
1774832246,377077,0.105038,3.238750,0.032449
1774832246,441279,0.105038,3.238750,0.032449
1774832246,505480,0.105038,3.238750,0.032449
1774832246,569712,0.105038,3.238750,0.032449
1774832246,633914,0.105038,3.238750,0.032449
1774832246,698115,0.105038,3.238750,0.032445
1774832246,762348,0.105038,3.238750,0.032445
1774832246,826549,0.105405,3.238750,0.032567
1774832246,890751,0.105282,3.238750,0.032528
1774832246,954983,0.105282,3.238750,0.032513
1774832247,19184,0.105282,3.238750,0.032503
1774832247,83416,0.105282,3.238750,0.032489
1774832247,147618,0.105282,3.238750,0.032479
1774832247,211819,0.105160,3.238750,0.032464
1774832247,276051,0.105038,3.238750,0.032454
1774832247,340253,0.105160,3.238750,0.032459
1774832247,404454,0.105282,3.237500,0.032503
1774832247,468687,0.105282,3.238750,0.032493
1774832247,532888,0.105282,3.238750,0.032479
1774832247,597090,0.105160,3.238750,0.032469
1774832247,661322,0.105038,3.238750,0.032454
1774832247,725523,0.105038,3.238750,0.032440
1774832247,789725,0.106260,3.238750,0.032787
